Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [okbooks],Price [okbooks],In stock [okbooks],Low stock [okbooks]
คอซอง หูกระต่าย นร.(น้ำเงิน กรม ดำ),10630,คอซอง หูกระต่าย นร.(น้ำเงิน กรม ดำ),เครื่องแต่งกาย,,N,,,,,,,0.00,,,,Y,Y,20.00,100.000,0.000
ค่าตั้งสายกีตาร์,11958,ค่าตั้งสายกีตาร์,เครื่องดนตรี,,N,,,,,,,0.00,,,,N,Y,20.00,,
ค่าเปลี่ยนสายกีตาร์-1-เส้น-พร้อมตั้งสายกีตาร์,11959,ค่าเปลี่ยนสายกีตาร์ 1 เส้น พร้อมตั้งสายกีตาร์,เครื่องดนตรี,,N,,,,,,,0.00,,,,N,Y,30.00,,
ค่าเปลี่ยนสายกีตาร์-2-เส้น-พร้อมตั้งสายกีตาร์,11960,ค่าเปลี่ยนสายกีตาร์ 2 เส้น พร้อมตั้งสายกีตาร์,เครื่องดนตรี,,N,,,,,,,0.00,,,,N,Y,40.00,,
ค่าเปลี่ยนสายกีตาร์-3-เส้น-พร้อมตั้งสายกีตาร์,11961,ค่าเปลี่ยนสายกีตาร์ 3 เส้น พร้อมตั้งสายกีตาร์,เครื่องดนตรี,,N,,,,,,,0.00,,,,N,Y,50.00,,
ค่าเปลี่ยนสายกีตาร์-4-6-เส้น-พร้อมตั้งสายกีตาร์,11962,ค่าเปลี่ยนสายกีตาร์ 4-6 เส้น พร้อมตั้งสายกีตาร์,เครื่องดนตรี,,N,,,,,,,0.00,,,,N,Y,60.00,,
ค่าแต่งรูป-เปลี่ยนฉากสี-(30-นาที),13021,ค่าแต่งรูป เปลี่ยนฉากสี (30 นาที),,,N,,,,,,,0.00,,,,N,Y,50.00,,
อัดรูป ค่า copy รูป แต่งรูป เล็กน้อย,10405,ค่าแต่งรูป เปลี่ยนฉากสี ยาก(1 ชม),งานรูป,,N,,,,,,,0.00,,,,Y,Y,100.00,100.000,0.000
คาโป้-harrier,11021,คาโป้ Harrier,เครื่องดนตรี,,N,,,,,,,0.00,,,,N,Y,290.00,,
คาโป้-rision,11020,คาโป้ Rision,เครื่องดนตรี,,N,,,,,,,0.00,,,,N,Y,250.00,,
